company_id,sector,cfo_quality_score,cfo_quality_label,capex_intensity_pct,capex_label,fcf_cagr_5yr,fcf_conversion_pct,distress_flag,deleveraging_flag,capital_allocation_label
AXISBANK,Financials,1.5751513083457553,High Quality,8.229937185125584,Capital Intensive,,-38.36280736894816,True,False,Growth Funded by Debt
BAJAJFINSV,Financials,-3.2466855295068715,Accrual Risk,9.929155115870342,Capital Intensive,,-194.77082619967717,True,False,Growth Funded by Debt
BAJFINANCE,Financials,-4.152257973799535,Accrual Risk,13.044822818889617,Capital Intensive,,-496.49667681222434,True,False,Growth Funded by Debt
BANKBARODA,Financials,-0.08498468744370383,Accrual Risk,1.0854965830088108,Asset Light,,-17.03283084341693,True,False,Growth Funded by Debt
BHEL,Industrials,2.1980624327233587,High Quality,5.570669233666764,Moderate,,-335.0210970464135,True,False,Distress Signal
CHOLAFIN,Financials,-7.331422230442019,Accrual Risk,14.898502322183374,Capital Intensive,,-715.6545961002786,True,False,Growth Funded by Debt
GRASIM,Industrials,0.33443145126101753,Accrual Risk,17.647238467528897,Capital Intensive,,-124.40889869461299,True,False,Growth Funded by Debt
M&M,Consumer Discretionary,0.4050112191473447,Accrual Risk,4.0373028084959515,Moderate,,-45.17515667684396,True,False,Growth Funded by Debt
PFC,Financials,-2.9358194779532973,Accrual Risk,3.7253573458058313,Moderate,,-301.5190778303994,True,False,Growth Funded by Debt
PNB,Financials,1.6752703529891857,High Quality,1.3808279466373263,Asset Light,,,True,False,Growth Funded by Debt
RECLTD,Financials,-3.5345599408599937,Accrual Risk,3.8533577456489256,Moderate,,-124.37399494601425,True,False,Growth Funded by Debt
SHRIRAMFIN,Financials,-3.039478038863411,Accrual Risk,0.7090249532813014,Asset Light,,-298.0043713769838,True,False,Growth Funded by Debt
TVSMOTOR,Consumer Discretionary,-1.125147812376823,Accrual Risk,2.557159279601482,Asset Light,,-40.98181818181818,True,False,Growth Funded by Debt
