company_id,from_year,from_pattern,to_year,to_pattern
ABB,2012.0,Reinvestor,2014,Unclassified
ABB,2014.0,Unclassified,2015,Growth Funded by Debt
ABB,2015.0,Growth Funded by Debt,2016,Reinvestor
ABB,2017.0,Reinvestor,2018,Mixed
ABB,2020.0,Mixed,2021,Reinvestor
ABB,2022.0,Reinvestor,2023,Mixed
ABB,2023.0,Mixed,2024,Reinvestor
ADANIENSOL,2014.0,Unclassified,2015,Growth Funded by Debt
ADANIENSOL,2015.0,Growth Funded by Debt,2016,Reinvestor
ADANIENSOL,2017.0,Reinvestor,2018,Mixed
ADANIENSOL,2020.0,Mixed,2021,Reinvestor
ADANIENSOL,2022.0,Reinvestor,2023,Mixed
ADANIENSOL,2023.0,Mixed,2024,Reinvestor
ADANIENT,2013.0,Mixed,2014,Reinvestor
ADANIENT,2014.0,Reinvestor,2015,Mixed
ADANIENT,2015.0,Mixed,2016,Reinvestor
ADANIENT,2016.0,Reinvestor,2017,Mixed
ADANIENT,2018.0,Mixed,2019,Liquidating Assets
ADANIENT,2019.0,Liquidating Assets,2020,Reinvestor
ADANIENT,2020.0,Reinvestor,2021,Mixed
ADANIENT,2022.0,Mixed,2023,Reinvestor
ADANIENT,2023.0,Reinvestor,2024,Mixed
ADANIGREEN,2022.0,Mixed,2023,Reinvestor
ADANIGREEN,2023.0,Reinvestor,2024,Mixed
ADANIPORTS,2014.0,Mixed,2015,Reinvestor
ADANIPORTS,2015.0,Reinvestor,2016,Mixed
ADANIPORTS,2016.0,Mixed,2017,Reinvestor
ADANIPORTS,2018.0,Reinvestor,2019,Mixed
ADANIPORTS,2019.0,Mixed,2020,Reinvestor
ADANIPORTS,2020.0,Reinvestor,2021,Mixed
ADANIPORTS,2021.0,Mixed,2022,Reinvestor
ADANIPOWER,2014.0,Mixed,2015,Reinvestor
ADANIPOWER,2021.0,Reinvestor,2022,Liquidating Assets
AMBUJACEM,2021.0,Reinvestor,2023,Mixed
APOLLOHOSP,2013.0,Mixed,2014,Reinvestor
APOLLOHOSP,2014.0,Reinvestor,2015,Mixed
APOLLOHOSP,2017.0,Mixed,2018,Reinvestor
AXISBANK,2014.0,Mixed,2015,Growth Funded by Debt
AXISBANK,2015.0,Growth Funded by Debt,2016,Distress Signal
AXISBANK,2016.0,Distress Signal,2017,Reinvestor
AXISBANK,2017.0,Reinvestor,2018,Growth Funded by Debt
AXISBANK,2018.0,Growth Funded by Debt,2019,Mixed
AXISBANK,2023.0,Mixed,2024,Growth Funded by Debt
BAJAJ-AUTO,2019.0,Reinvestor,2020,Liquidating Assets
BAJAJ-AUTO,2020.0,Liquidating Assets,2021,Reinvestor
BAJAJ-AUTO,2021.0,Reinvestor,2022,Liquidating Assets
BAJAJ-AUTO,2023.0,Liquidating Assets,2024,Reinvestor
